question,options,explanation,difficulty,metadata
What is the value of 7 + 5?,"[{""text"": ""10"", ""correct"": ""false""}, {""text"": ""11"", ""correct"": ""false""}, {""text"": ""12"", ""correct"": ""true""}, {""text"": ""13"", ""correct"": ""false""}]",7 plus 5 equals 12.,easy,"{""topic"": ""Arithmetic"", ""subtopic"": ""Addition"", ""learning_objective"": ""To understand basic addition""}"
What is the product of 8 and 6?,"[{""text"": ""48"", ""correct"": ""true""}, {""text"": ""54"", ""correct"": ""false""}, {""text"": ""56"", ""correct"": ""false""}, {""text"": ""60"", ""correct"": ""false""}]",The product of 8 and 6 is calculated as 8 * 6 = 48.,medium,"{""topic"": ""Arithmetic"", ""subtopic"": ""Multiplication"", ""learning_objective"": ""To understand basic multiplication""}"
"If a triangle has angles of 90 degrees and 45 degrees, what is the measure of the third angle?","[{""text"": ""45 degrees"", ""correct"": ""true""}, {""text"": ""30 degrees"", ""correct"": ""false""}, {""text"": ""60 degrees"", ""correct"": ""false""}, {""text"": ""75 degrees"", ""correct"": ""false""}]","The sum of the angles in a triangle is always 180 degrees. Therefore, 180 - (90 + 45) = 45 degrees.",hard,"{""topic"": ""Geometry"", ""subtopic"": ""Triangle Angles"", ""learning_objective"": ""To understand the properties of triangles""}"
What is the value of 7 multiplied by 8?,"[{""text"": ""54"", ""correct"": ""false""}, {""text"": ""56"", ""correct"": ""true""}, {""text"": ""64"", ""correct"": ""false""}, {""text"": ""48"", ""correct"": ""false""}]",7 multiplied by 8 equals 56.,easy,"{""topic"": ""Multiplication"", ""subtopic"": ""Basic Arithmetic"", ""learning objective"": ""To understand and perform basic multiplication operations.""}"
What is the area of a triangle with a base of 10 units and a height of 5 units?,"[{""text"": ""25 square units"", ""correct"": ""true""}, {""text"": ""50 square units"", ""correct"": ""false""}, {""text"": ""15 square units"", ""correct"": ""false""}, {""text"": ""30 square units"", ""correct"": ""false""}]","The area of a triangle is calculated as (base * height) / 2, which in this case is (10 * 5) / 2 = 25 square units.",medium,"{""topic"": ""Geometry"", ""subtopic"": ""Area Calculation"", ""learning objective"": ""To calculate the area of a triangle using the formula.""}"
Which of the following numbers is a prime number?,"[{""text"": ""9"", ""correct"": ""false""}, {""text"": ""15"", ""correct"": ""false""}, {""text"": ""13"", ""correct"": ""true""}, {""text"": ""21"", ""correct"": ""false""}]",A prime number is a natural number greater than 1 that cannot be formed by multiplying two smaller natural numbers. 13 is prime because its only divisors are 1 and 13.,medium,"{""topic"": ""Number Theory"", ""subtopic"": ""Prime Numbers"", ""learning objective"": ""To identify and understand prime numbers.""}"
What is the value of the expression 7 + 3 * 2?,"[{""text"": ""10"", ""correct"": ""false""}, {""text"": ""13"", ""correct"": ""true""}, {""text"": ""14"", ""correct"": ""false""}, {""text"": ""12"", ""correct"": ""false""}]","According to the order of operations (PEMDAS/BODMAS), you should first multiply 3 by 2 to get 6, and then add 7, resulting in 13.",medium,"{""topic"": ""Arithmetic"", ""subtopic"": ""Order of Operations"", ""learning_objective"": ""Understand and apply the order of operations in arithmetic expressions.""}"
"If a triangle has angles of 60 degrees and 90 degrees, what is the measure of the third angle?","[{""text"": ""30 degrees"", ""correct"": ""true""}, {""text"": ""60 degrees"", ""correct"": ""false""}, {""text"": ""90 degrees"", ""correct"": ""false""}, {""text"": ""120 degrees"", ""correct"": ""false""}]","The sum of the angles in a triangle is always 180 degrees. Therefore, the third angle is 180 - (60 + 90) = 30 degrees.",easy,"{""topic"": ""Geometry"", ""subtopic"": ""Triangle Angles"", ""learning_objective"": ""Calculate the missing angle in a triangle.""}"
What is the value of x in the equation 5x - 10 = 0?,"[{""text"": ""2"", ""correct"": ""false""}, {""text"": ""5"", ""correct"": ""false""}, {""text"": ""4"", ""correct"": ""false""}, {""text"": ""2"", ""correct"": ""true""}]","To solve for x, first add 10 to both sides to get 5x = 10, then divide both sides by 5, resulting in x = 2.",medium,"{""topic"": ""Algebra"", ""subtopic"": ""Solving Linear Equations"", ""learning_objective"": ""Solve for a variable in a linear equation.""}"
What is the value of x in the equation 2x + 3 = 11?,"[{""text"": ""2"", ""correct"": ""false""}, {""text"": ""3"", ""correct"": ""false""}, {""text"": ""4"", ""correct"": ""true""}, {""text"": ""5"", ""correct"": ""false""}]","To solve for x, first subtract 3 from both sides to get 2x = 8. Then, divide both sides by 2 to find x = 4.",medium,"{""topic"": ""Algebra"", ""subtopic"": ""Linear Equations"", ""learning_objective"": ""Solve linear equations for a variable""}"
