question_text,statement_1,statement_2,options,explanation,metadata,difficulty_level,difficulty_rating,estimated_time
What is the product of 0.3 and a number x?,x is equal to 10.,x is a positive decimal less than 1.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": true}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) provides a specific value for x, allowing us to calculate the product (0.3 * 10 = 3). Statement (2) does not provide a specific value for x, so it is insufficient on its own.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Easy,2.5,90
Is the decimal representation of the fraction 1/8 greater than 0.12?,The decimal representation of 1/8 is 0.125.,0.12 is equivalent to 12/100.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": true}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) provides the decimal representation of 1/8 (0.125), which is clearly greater than 0.12. Statement (2) alone does not provide a comparison.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Medium,3.5,120
What is the value of z if z is a decimal number?,z is equal to the sum of 0.45 and 0.55.,z is less than 1 but greater than 0.8.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) gives z as 1 (0.45 + 0.55 = 1), while statement (2) implies z can be between 0.8 and 1. Since z cannot be both 1 and less than 1, we need both statements to arrive at the conclusion that z cannot satisfy both conditions.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Hard,4.0,180
What is the value of 0.75 + 0.25?,0.75 can be expressed as a fraction.,0.25 is equivalent to 1/4.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Both statements provide information that helps to understand the values of 0.75 and 0.25, and thus can be combined to yield the final sum of 1.00.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Easy,2.5,90
Is the decimal 0.6 greater than 0.55?,0.6 can be written as a fraction.,0.55 is equal to 55/100.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Both statements provide context to understand the decimals, and together they confirm that 0.6 is indeed greater than 0.55.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Medium,3.0,120
What is the result of multiplying 0.07 by 0.5?,0.07 can be expressed as 7/100.,0.5 is equivalent to 1/2.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Combining both statements allows us to convert the decimals into fractions and multiply them to find the result. Alone, each statement does not provide sufficient information to compute the product.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Hard,4.0,180
What is the value of 0.3 + 0.07?,0.3 can be expressed as a fraction.,0.07 can be expressed as a decimal.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": true}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Both statements provide information that allows the calculation of the sum. In statement (1), converting 0.3 to a fraction (3/10) does not affect the ability to add it to 0.07, while statement (2) confirms that 0.07 as a decimal can also be added directly. Therefore, each statement alone is sufficient to solve the problem.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Medium,3.5,120
What is the value of the fraction \( \frac{a}{b} \) if both \( a \) and \( b \) are positive integers?,The value of \( a \) is 6.,The value of \( b \) is 3.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]",Both statements together allow us to find the value of the fraction \( \frac{6}{3} = 2 \). Each statement alone does not provide enough information to determine the fraction.,"{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Easy,2.5,90
Is the fraction \( \frac{x}{y} \) greater than 1?,The numerator \( x \) is 12.,The denominator \( y \) is less than 12.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","From Statement 1, we know \( x = 12 \). From Statement 2, since \( y < 12 \), this means \( \frac{12}{y} > 1 \). Therefore, both statements together confirm that the fraction is greater than 1.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.0,120
What is the simplified form of the fraction \( \frac{8}{12} \)?,The fraction can be simplified by dividing both numerator and denominator by 4.,The fraction can also be expressed as a decimal.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": true}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]",Statement 1 directly tells us how to simplify the fraction: \( \frac{8}{12} = \frac{2}{3} \) by dividing by 4. Statement 2 does not provide information about simplification.,"{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Hard,4.0,180
