question,option_1,option_2,option_3,option_4,correct_answer
"What is the output of the following code snippet? 

x = 5 
print(x >> 1)",2,2.5,5,10,2
What is the purpose of the 'yield' keyword in Python?,To create a generator function,To pause and resume the execution of a function,To return a value from a function,To raise an exception,To create a generator function
What is the difference between 'deepcopy' and 'copy' in Python's copy module?,"deepcopy creates a shallow copy, while copy creates a deep copy","deepcopy creates a deep copy, while copy creates a shallow copy",Both functions create shallow copies,Both functions create deep copies,"deepcopy creates a deep copy, while copy creates a shallow copy"
"What is the output of the following code snippet? 

import math 
print(math.trunc(3.5))",3.5,3,4,0.5,3
Which of the following is not a valid type of data structure in Python?,Array,Queue,Dictionary,LinkedList,Array
What is the purpose of the 'sys' module in Python?,To interact with the operating system,To perform mathematical operations,To manipulate strings,To generate random numbers,To interact with the operating system
"What is the output of the following code snippet? 

x = 'hello' 
print(x[::-1])",olleh,hello,lo,h,olleh
What is the purpose of the 'with' statement in Python?,To define a context manager,To handle exceptions,To create a generator function,To create a decorator,To define a context manager
"What is the output of the following code snippet? 

print(2 ** 3 ** 2)",64,512,72,18,512
Which of the following is true about Python's Global Interpreter Lock (GIL)?,It allows only one thread to execute at a time,It allows multiple threads to execute simultaneously,It is used for memory management,It is specific to the CPython implementation,It allows only one thread to execute at a time
